NLOC,CCN,Token Count,Parameter Count,Length,Function Name,File Path,Function Signature,Start Line,End Line
13,3,56,2,20,"eep_init@66-85@./eep.c","./eep.c","eep_init","eep_init( uint16_t * data , uint16_t len)",66,85
25,7,141,0,28,"eep_search_valid_page@88-115@./eep.c","./eep.c","eep_search_valid_page","eep_search_valid_page()",88,115
17,4,87,0,17,"eep_search_valid_data@117-133@./eep.c","./eep.c","eep_search_valid_data","eep_search_valid_data()",117,133
9,2,55,3,11,"eep_read_data@136-146@./eep.c","./eep.c","eep_read_data","eep_read_data( uint16_t addr , uint16_t * data , uint16_t len)",136,146
21,5,108,3,26,"eep_verify_write@148-173@./eep.c","./eep.c","eep_verify_write","eep_verify_write( uint32_t addr , const uint32_t * data , uint16_t len)",148,173
24,4,134,3,29,"eep_write_data@175-203@./eep.c","./eep.c","eep_write_data","eep_write_data( uint16_t addr , uint16_t * data , uint16_t len)",175,203
36,5,269,0,56,"eep_page_shift@205-260@./eep.c","./eep.c","eep_page_shift","eep_page_shift()",205,260
4,1,11,0,4,"eep_get_cycle@262-265@./eep.c","./eep.c","eep_get_cycle","eep_get_cycle()",262,265
5,1,15,0,5,"eep_reset@267-271@./eep.c","./eep.c","eep_reset","eep_reset()",267,271
13,2,46,3,13,"EnableNvic@83-95@./examples/HC32L19x_Template_Rev1.1.0/common/interrupts_hc32l19x.c","./examples/HC32L19x_Template_Rev1.1.0/common/interrupts_hc32l19x.c","EnableNvic","EnableNvic( IRQn_Type enIrq , en_irq_level_t enLevel , boolean_t bEn)",83,95
8,2,21,0,9,"HardFault_Handler@104-112@./examples/HC32L19x_Template_Rev1.1.0/common/interrupts_hc32l19x.c","./examples/HC32L19x_Template_Rev1.1.0/common/interrupts_hc32l19x.c","HardFault_Handler","HardFault_Handler()",104,112
4,1,10,0,4,"SysTick_Handler@121-124@./examples/HC32L19x_Template_Rev1.1.0/common/interrupts_hc32l19x.c","./examples/HC32L19x_Template_Rev1.1.0/common/interrupts_hc32l19x.c","SysTick_Handler","SysTick_Handler()",121,124
4,2,10,0,6,"PORTA_IRQHandler@132-137@./examples/HC32L19x_Template_Rev1.1.0/common/interrupts_hc32l19x.c","./examples/HC32L19x_Template_Rev1.1.0/common/interrupts_hc32l19x.c","PORTA_IRQHandler","PORTA_IRQHandler()",132,137
4,2,10,0,6,"PORTB_IRQHandler@145-150@./examples/HC32L19x_Template_Rev1.1.0/common/interrupts_hc32l19x.c","./examples/HC32L19x_Template_Rev1.1.0/common/interrupts_hc32l19x.c","PORTB_IRQHandler","PORTB_IRQHandler()",145,150
5,3,14,0,10,"PORTC_E_IRQHandler@158-167@./examples/HC32L19x_Template_Rev1.1.0/common/interrupts_hc32l19x.c","./examples/HC32L19x_Template_Rev1.1.0/common/interrupts_hc32l19x.c","PORTC_E_IRQHandler","PORTC_E_IRQHandler()",158,167
5,3,14,0,10,"PORTD_F_IRQHandler@175-184@./examples/HC32L19x_Template_Rev1.1.0/common/interrupts_hc32l19x.c","./examples/HC32L19x_Template_Rev1.1.0/common/interrupts_hc32l19x.c","PORTD_F_IRQHandler","PORTD_F_IRQHandler()",175,184
4,2,10,0,6,"DMAC_IRQHandler@192-197@./examples/HC32L19x_Template_Rev1.1.0/common/interrupts_hc32l19x.c","./examples/HC32L19x_Template_Rev1.1.0/common/interrupts_hc32l19x.c","DMAC_IRQHandler","DMAC_IRQHandler()",192,197
4,2,10,0,6,"TIM3_IRQHandler@205-210@./examples/HC32L19x_Template_Rev1.1.0/common/interrupts_hc32l19x.c","./examples/HC32L19x_Template_Rev1.1.0/common/interrupts_hc32l19x.c","TIM3_IRQHandler","TIM3_IRQHandler()",205,210
5,3,14,0,10,"UART0_2_IRQHandler@218-227@./examples/HC32L19x_Template_Rev1.1.0/common/interrupts_hc32l19x.c","./examples/HC32L19x_Template_Rev1.1.0/common/interrupts_hc32l19x.c","UART0_2_IRQHandler","UART0_2_IRQHandler()",218,227
5,3,14,0,10,"UART1_3_IRQHandler@235-244@./examples/HC32L19x_Template_Rev1.1.0/common/interrupts_hc32l19x.c","./examples/HC32L19x_Template_Rev1.1.0/common/interrupts_hc32l19x.c","UART1_3_IRQHandler","UART1_3_IRQHandler()",235,244
